"feature","z","cell_type","cell"
"feature 9",-0.3576554952433767,"cell type 3","C22_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C22_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C22_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C22_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C22_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C23_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C23_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C23_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C23_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C23_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C23_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C23_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C23_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C23_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C24_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C24_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C24_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C24_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C24_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C24_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C24_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C24_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C24_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C25_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C25_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C25_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C25_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C25_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C25_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C25_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C25_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C25_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C26_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C26_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C26_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C26_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C26_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C26_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C26_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C26_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C26_p1d1"
"feature 6",1.743490952228105,"cell type 2","C27_p1d1"
"feature 5",2.711893371505118,"cell type 2","C27_p1d1"
"feature 13",2.784742636511148,"cell type 2","C27_p1d1"
"feature 12",3.8198192549826215,"cell type 2","C27_p1d1"
"feature 9",2.9385900009892216,"cell type 2","C27_p1d1"
