"from","to","r","t","p.value","FDR","Type"
"CRO-03G030620","CRO-06G006240",0.7958278215161207,4.738710362529227,1.9361102079951047e-4,0.007761798549755352,"co-expressed"
"CRO-03G032340","CRO-06G006240",0.7888207172614116,4.627441329449289,2.3674918524352938e-4,0.009015475991416524,"co-expressed"
"CRO-03G003560","CRO-06G006500",0.838583027122019,5.550109117721451,4.6914769436818986e-5,0.002648045369389956,"co-expressed"
"CRO-03G003800","CRO-06G006500",0.8218220493313515,5.200792281613391,8.54275075707043e-5,0.0041920264724271405,"co-expressed"
"CRO-03G019430","CRO-06G006500",0.8814608047399153,6.729706234589372,7.026211731312132e-6,5.897675717595138e-4,"co-expressed"
"CRO-03G030600","CRO-06G006500",0.8963456496985696,7.289448540129594,3.048262323131063e-6,2.981520277571118e-4,"co-expressed"
"CRO-03G030620","CRO-06G006500",0.8808268141414345,6.7080844976387635,7.262571018362424e-6,6.056630404156939e-4,"co-expressed"
"CRO-03G032330","CRO-06G006500",0.7984605914089492,4.781836354006031,1.7916515837819485e-4,0.0073234888102357955,"co-expressed"
"CRO-03G032340","CRO-06G006500",0.8780024922437213,6.613690437517016,8.397332856564918e-6,6.807482628760932e-4,"co-expressed"
"CRO-04G013510","CRO-06G006500",0.8784415198460561,6.628161176455706,8.211863816462045e-6,6.687013626768008e-4,"co-expressed"
"CRO-05G014340","CRO-06G006500",0.889339308277504,7.012736067264882,4.58265594757233e-6,4.1661771513184847e-4,"co-expressed"
"CRO-05G015990","CRO-06G006500",0.8300373020919506,5.366146277510719,6.41911073230324e-5,0.003369510686153412,"co-expressed"
"CRO-05G017150","CRO-06G006500",0.8265908732438212,5.295484053964912,7.249665173748321e-5,0.003697953168022454,"co-expressed"
"CRO-05G023030","CRO-06G006500",0.883622839738858,6.804680793299533,6.267663143149095e-6,5.380132848488676e-4,"co-expressed"
"CRO-02G001090","CRO-06G006930",0.9659078824200996,13.452370362713118,2.6242885586638904e-9,8.147810118813935e-7,"co-expressed"
"CRO-03G003540","CRO-06G006930",0.9706577046200711,14.55409287940485,1.0010399899971264e-9,3.643937849977402e-7,"co-expressed"
"CRO-01G032400","CRO-06G008460",0.8062728990773287,4.914358849738226,1.4139008188409396e-4,0.00613401493135517,"co-expressed"
"CRO-03G003560","CRO-06G008460",0.9914816940117525,27.44679248145798,3.3943275811972664e-13,5.538450142779868e-10,"co-expressed"
